inflfn,measure,rmse,trendfn,std_sim_error,me,nsim,params,resamplefn,mse,corr,mae,path
PercEq-74.0,Percentil equiponderado 74.0,0.42107686,TrendRandomWalk,0.0016692244179874116,-0.03666735,125000,"(0.74f0,)",ResampleScrambleVarMonths,0.33278525,0.9770421,0.42107686,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\scramble\HEMI - inflfn = PercEq-74.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercEq-75.0,Percentil equiponderado 75.0,0.49759588,TrendRandomWalk,0.001332926537230377,0.2663252,125000,"(0.75f0,)",ResampleScrambleVarMonths,0.37229344,0.9775205,0.49759588,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\scramble\HEMI - inflfn = PercEq-75.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercEq-73.0,Percentil equiponderado 73.0,0.48303643,TrendRandomWalk,0.002603347780832552,-0.32028306,125000,"(0.73f0,)",ResampleScrambleVarMonths,0.4784486,0.97658217,0.48303643,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\scramble\HEMI - inflfn = PercEq-73.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercEq-76.0,Percentil equiponderado 76.0,0.6899745,TrendRandomWalk,0.0019296406912169474,0.59012467,125000,"(0.76f0,)",ResampleScrambleVarMonths,0.63747495,0.9780125,0.6899745,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\scramble\HEMI - inflfn = PercEq-76.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercEq-72.0,Percentil equiponderado 72.0,0.64263093,TrendRandomWalk,0.003763347063028186,-0.5856701,125000,"(0.72f0,)",ResampleScrambleVarMonths,0.774701,0.9761331,0.64263093,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\scramble\HEMI - inflfn = PercEq-72.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercEq-77.0,Percentil equiponderado 77.0,0.9662593,TrendRandomWalk,0.0030696284811522153,0.9369541,125000,"(0.77f0,)",ResampleScrambleVarMonths,1.1766539,0.9785389,0.9662593,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\scramble\HEMI - inflfn = PercEq-77.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercEq-71.0,Percentil equiponderado 71.0,0.8489466,TrendRandomWalk,0.005049069719982241,-0.8344081,125000,"(0.71f0,)",ResampleScrambleVarMonths,1.1928078,0.97565114,0.8489466,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\scramble\HEMI - inflfn = PercEq-71.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercEq-70.0,Percentil equiponderado 70.0,1.0701377,TrendRandomWalk,0.006426645869881786,-1.0677806,125000,"(0.7f0,)",ResampleScrambleVarMonths,1.7086376,0.97509336,1.0701377,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\scramble\HEMI - inflfn = PercEq-70.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercEq-78.0,Percentil equiponderado 78.0,1.3140701,TrendRandomWalk,0.004604918475354314,1.3095655,125000,"(0.78f0,)",ResampleScrambleVarMonths,2.049899,0.97907627,1.3140701,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\scramble\HEMI - inflfn = PercEq-78.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercEq-69.0,Percentil equiponderado 69.0,1.2878075,TrendRandomWalk,0.007883053485236107,-1.2876018,125000,"(0.69f0,)",ResampleScrambleVarMonths,2.3041422,0.97441065,1.2878075,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\scramble\HEMI - inflfn = PercEq-69.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
