inflfn,measure,rmse,trendfn,std_sim_error,me,nsim,params,resamplefn,mse,corr,mae,path
PercWeighted-73.0,Percentil ponderado 73.0,0.6440654,TrendRandomWalk,0.002402104839975341,0.015046247,125000,"(0.73f0,)",ResampleScrambleVarMonths,0.62792605,0.96115595,0.6440654,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\scramble\HEMI - inflfn = PercWeighted-73.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercWeighted-72.0,Percentil ponderado 72.0,0.66740537,TrendRandomWalk,0.0022940620681672404,-0.26354322,125000,"(0.72f0,)",ResampleScrambleVarMonths,0.6421484,0.96055365,0.66740537,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\scramble\HEMI - inflfn = PercWeighted-72.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercWeighted-74.0,Percentil ponderado 74.0,0.69454694,TrendRandomWalk,0.003446804337398875,0.31346408,125000,"(0.74f0,)",ResampleScrambleVarMonths,0.81043464,0.96173626,0.69454694,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\scramble\HEMI - inflfn = PercWeighted-74.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercWeighted-71.0,Percentil ponderado 71.0,0.75310576,TrendRandomWalk,0.0029638321363697454,-0.52441555,125000,"(0.71f0,)",ResampleScrambleVarMonths,0.81742805,0.959921,0.75310576,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\scramble\HEMI - inflfn = PercWeighted-71.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercWeighted-70.0,Percentil ponderado 70.0,0.8876644,TrendRandomWalk,0.003970932767411499,-0.76957977,125000,"(0.7f0,)",ResampleScrambleVarMonths,1.1251342,0.9592619,0.8876644,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\scramble\HEMI - inflfn = PercWeighted-70.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercWeighted-75.0,Percentil ponderado 75.0,0.8301816,TrendRandomWalk,0.005184940032813357,0.6339807,125000,"(0.75f0,)",ResampleScrambleVarMonths,1.2342563,0.96229696,0.8301816,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\scramble\HEMI - inflfn = PercWeighted-75.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercWeighted-69.0,Percentil ponderado 69.0,1.0557655,TrendRandomWalk,0.005121935889086179,-1.0008117,125000,"(0.69f0,)",ResampleScrambleVarMonths,1.5429627,0.9585379,1.0557655,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\scramble\HEMI - inflfn = PercWeighted-69.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercWeighted-76.0,Percentil ponderado 76.0,1.059017,TrendRandomWalk,0.007543291217825174,0.9791603,125000,"(0.76f0,)",ResampleScrambleVarMonths,1.9547544,0.9628404,1.059017,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\scramble\HEMI - inflfn = PercWeighted-76.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercWeighted-68.0,Percentil ponderado 68.0,1.2424706,TrendRandomWalk,0.006366586273578974,-1.2197686,125000,"(0.68f0,)",ResampleScrambleVarMonths,2.0532722,0.95772576,1.2424706,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\scramble\HEMI - inflfn = PercWeighted-68.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
PercWeighted-67.0,Percentil ponderado 67.0,1.435804,TrendRandomWalk,0.007691557761740314,-1.427697,125000,"(0.67f0,)",ResampleScrambleVarMonths,2.641179,0.9568136,1.435804,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileWeighted\scramble\HEMI - inflfn = PercWeighted-67.0 - nsim = 125000 - resamplefn = ResampleScrambleVarMonths - trendfn = TrendRandomWalk.jld2
